Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
SQLite for PubMed ID,PMID,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v011/pubmed.sqlite,NCBI:PubMed:Text Mining:SQLite:v011
SQLite for PubMed Abstract,Correspondence table of PMID-Journal-Year-Title-Abstract,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v011/abstract.sqlite,NCBI:PubMed:Text Mining:SQLite:v011
SQLite for PubMed Author Information,Correspondence table of PMID-LastName-ForeName-Affiliation-Region-Longitude-Lattitude,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v011/author.sqlite,NCBI:PubMed:Text Mining:SQLite:v011
SQLite for PMC,Correspondence table of PMID-PMCID,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v011/pmc.sqlite,NCBI:PMC:Text Mining:SQLite:v011
SQLite for MeSH (Descriptor),Correspondence table of PMID-DescriptorID-DescriptorTerm,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v011/descriptor.sqlite,NCBI:MeSH:Descriptor:Text Mining:SQLite:v011
SQLite for MeSH (Qualifier),Correspondence table of PMID-QualifierID-QualifierTerm,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v011/qualifier.sqlite,NCBI:MeSH:Qualifier:Text Mining:SQLite:v011
SQLite for MeSH (SCR),Correspondence table of PMID-SCRID-SCRTerm,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v011/scr.sqlite,NCBI:MeSH:SCR:Supplementary Chemical Records:Text Mining:SQLite:v011
Tibble for PubMed ID,PMID,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v011/pubmed_tbl.RData,NCBI:PubMed:Text Mining:tibble:v011
Tibble for PubMed Abstract,Correspondence table of PMID-Journal-Year-Title-Abstract,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v011/abstract_tbl.RData,NCBI:PubMed:Text Mining:tibble:v011
Tibble for PubMed Author Information,Correspondence table of PMID-LastName-ForeName-Affiliation-Region-Longitude-Lattitude,3.23,NA,XML,https://github.com/rikenbit/pubmed-workflow,05-Feb-2026,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v011/author_tbl.RData,NCBI:PubMed:Text Mining:tibble:v011
