Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
SQLite for PubMed ID,PMID,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v004/pubmed.sqlite,NCBI:PubMed:Text Mining:SQLite:v004
SQLite for PubMed Abstract,Correspondence table of PMID-Journal-Year-Title-Abstract,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v004/abstract.sqlite,NCBI:PubMed:Text Mining:SQLite:v004
SQLite for PubMed Author Information,Correspondence table of PMID-LastName-ForeName-Affiliation-Region-Longitude-Lattitude,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v004/author.sqlite,NCBI:PubMed:Text Mining:SQLite:v004
SQLite for PMC,Correspondence table of PMID-PMCID,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v004/pmc.sqlite,NCBI:PMC:Text Mining:SQLite:v004
SQLite for MeSH (Descriptor),Correspondence table of PMID-DescriptorID-DescriptorTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v004/descriptor.sqlite,NCBI:MeSH:Descriptor:Text Mining:SQLite:v004
SQLite for MeSH (Qualifier),Correspondence table of PMID-QualifierID-QualifierTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v004/qualifier.sqlite,NCBI:MeSH:Qualifier:Text Mining:SQLite:v004
SQLite for MeSH (SCR),Correspondence table of PMID-SCRID-SCRTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/v004/scr.sqlite,NCBI:MeSH:SCR:Supplementary Chemical Records:Text Mining:SQLite:v004
Tibble for PubMed ID,PMID,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v004/pubmed_tbl.RData,NCBI:PubMed:Text Mining:tibble:v004
Tibble for PubMed Abstract,Correspondence table of PMID-Journal-Year-Title-Abstract,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v004/abstract_tbl.RData,NCBI:PubMed:Text Mining:tibble:v004
Tibble for PubMed Author Information,Correspondence table of PMID-LastName-ForeName-Affiliation-Region-Longitude-Lattitude,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v004/author_tbl.RData,NCBI:PubMed:Text Mining:tibble:v004
Tibble for PMC,Correspondence table of PMID-PMCID,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v004/pmc_tbl.RData,NCBI:PMC:Text Mining:tibble:v004
Tibble for MeSH (Descriptor),Correspondence table of PMID-DescriptorID-DescriptorTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v004/descriptor_tbl.RData,NCBI:MeSH:Descriptor:Text Mining:tibble:v004
Tibble for MeSH (Qualifier),Correspondence table of PMID-QualifierID-QualifierTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v004/qualifier_tbl.RData,NCBI:MeSH:Qualifier:Text Mining:tibble:v004
Tibble for MeSH (SCR),Correspondence table of PMID-SCRID-SCRTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,Rda,AHPubMedDbs/v004/scr_tbl.RData,NCBI:MeSH:SCR:Supplementary Chemical Records:Text Mining:tibble:v004
Data.table for PubMed ID,PMID,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,Rda,AHPubMedDbs/v004/pubmed_dt.RData,NCBI:PubMed:Text Mining:data.table:v004
Data.table for PubMed Abstract,Correspondence table of PMID-Journal-Year-Title-Abstract,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,Rda,AHPubMedDbs/v004/abstract_dt.RData,NCBI:PubMed:Text Mining:data.table:v004
Data.table for PubMed Author Information,Correspondence table of PMID-LastName-ForeName-Affiliation-Region-Longitude-Lattitude,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,Rda,AHPubMedDbs/v004/author_dt.RData,NCBI:PubMed:Text Mining:data.table:v004
Data.table for PMC,Correspondence table of PMID-PMCID,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,Rda,AHPubMedDbs/v004/pmc_dt.RData,NCBI:PMC:Text Mining:data.table:v004
Data.table for MeSH (Descriptor),Correspondence table of PMID-DescriptorID-DescriptorTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,Rda,AHPubMedDbs/v004/descriptor_dt.RData,NCBI:MeSH:Descriptor:Text Mining:data.table:v004
Data.table for MeSH (Qualifier),Correspondence table of PMID-QualifierID-QualifierTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,Rda,AHPubMedDbs/v004/qualifier_dt.RData,NCBI:MeSH:Qualifier:Text Mining:data.table:v004
Data.table for MeSH (SCR),Correspondence table of PMID-SCRID-SCRTerm,3.16,NA,XML,https://github.com/rikenbit/pubmed-workflow,12-Aug-2022,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,Rda,AHPubMedDbs/v004/scr_dt.RData,NCBI:MeSH:SCR:Supplementary Chemical Records:Text Mining:data.table:v004
